Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
match [light-a-MATCH],www.youtube.com/watch?v=C37R_Ix8-qs,SOMEWHAT THE SAME,YES,TWO HANDS,,,
FAIL,www.youtube.com/watch?v=PIsUJl8BN_I,NOT THE SAME,YES,TWO HANDS,,,
BOOK,www.youtube.com/watch?v=J7tP98oDxqE,SAME,YES,TWO HANDS,,,
school,www.youtube.com/watch?v=1AyT77LqJzQ,,NO,,,,
school,www.youtube.com/watch?v=1AyT77LqJzQ,,NO,,,,
easter,www.youtube.com/watch?v=SVWABYmFdhs,NOT THE SAME,YES,ONE HAND,,,
Boring,www.youtube.com/watch?v=CYx7qm62Zwo,SAME,YES,ONE HAND,,,
PAST,www.youtube.com/watch?v=cJOyCgIKyeA,NOT THE SAME,YES,ONE HAND,,,
telephone,www.youtube.com/watch?v=HPz_C5XM4o4,SAME,YES,ONE HAND,,,
telephone,www.youtube.com/watch?v=HPz_C5XM4o4,SAME,YES,ONE HAND,,,
telephone,www.youtube.com/watch?v=HPz_C5XM4o4,SAME,YES,ONE HAND,,,
LIBRARY,www.youtube.com/watch?v=S2cqitZ0qes,NOT THE SAME,YES,ONE HAND,,,
COCHLEAR IMPLANT-[bent V version],www.youtube.com/watch?v=I_QDeKcyvns,SOMEWHAT THE SAME,YES,ONE HAND,,,
rainbow,www.youtube.com/watch?v=WeAFuzYTdtU,NOT THE SAME,YES,ONE HAND,,,
rainbow,www.youtube.com/watch?v=WeAFuzYTdtU,SAME,YES,ONE HAND,,,
rainbow,www.youtube.com/watch?v=WeAFuzYTdtU,SAME,YES,ONE HAND,,,
LETTER,www.youtube.com/watch?v=sKbKzPIaFNA,SAME,YES,TWO HANDS,,,
FROM,www.youtube.com/watch?v=fQ58eciJmCY,SAME,YES,TWO HANDS,,,
its/his/her,www.youtube.com/watch?v=GYWm0gdybFA,NOT THE SAME,YES,ONE HAND,,,
HONG KONG-[fingerspelled-version],www.youtube.com/watch?v=PIfDfi4Qx60,NOT THE SAME,YES,ONE HAND,,,
EVERY MORNING,www.youtube.com/watch?v=fv1nQoXRlsI,NOT THE SAME,YES,TWO HANDS,,,
french,www.youtube.com/watch?v=iJuIO4n0-VU,SOMEWHAT THE SAME,YES,ONE HAND,,,
GIVE (alternative),www.youtube.com/watch?v=7G6B6kaMjb4,NOT THE SAME,YES,ONE HAND,,,
shock-[BRAIN-FREEZE],www.youtube.com/watch?v=XCiFsGrb_Nk,NOT THE SAME,YES,TWO HANDS,,,
PUERTO-RICO,www.youtube.com/watch?v=NNZD9RAgL4w,SAME,YES,TWO HANDS,,,
Breakfast,www.youtube.com/watch?v=bUezx9Zp16E,NOT THE SAME,YES,TWO HANDS,,,
Day,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,TWO HANDS,,,
Day,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,TWO HANDS,,,
Day,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,TWO HANDS,,,
Day,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,TWO HANDS,,,
Afternoon,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Afternoon,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Afternoon,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Happy (1 handed),www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,ONE HAND,,,
Sad,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Sad,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Nervous (2 ways),www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Nervous (2 ways),www.youtube.com/watch?v=jQb9NL9_S6U,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Upset,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,ONE HAND,,,
Want (mouth \u201cWA\u201c),www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Know,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,ONE HAND,,,
Know,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,ONE HAND,,,
Must,www.youtube.com/watch?v=jQb9NL9_S6U,SAME,YES,ONE HAND,,,
How (2 ways),www.youtube.com/watch?v=jQb9NL9_S6U,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Wow,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,ONE HAND,,,
Wow,www.youtube.com/watch?v=jQb9NL9_S6U,SOMEWHAT THE SAME,YES,ONE HAND,,,
Pass,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
Pass,www.youtube.com/watch?v=jQb9NL9_S6U,NOT THE SAME,YES,TWO HANDS,,,
think,www.youtube.com/watch?v=Y5q-PccHNHo,SAME,YES,ONE HAND,,,
yellow,www.youtube.com/watch?v=0Beq_NIDj2c,,NO,,,,
yellow,www.youtube.com/watch?v=0Beq_NIDj2c,,NO,,,,
teacher,www.youtube.com/watch?v=_HOx2QkkTsg,NOT THE SAME,YES,TWO HANDS,,,
teacher,www.youtube.com/watch?v=_HOx2QkkTsg,NOT THE SAME,YES,TWO HANDS,,,
university,www.youtube.com/watch?v=jrQalROeZtg,NOT THE SAME,YES,TWO HANDS,,,
FIX-[fingerspelled version],www.youtube.com/watch?v=FL6MaUJmIkA,NOT THE SAME,YES,ONE HAND,,,
clock,www.youtube.com/watch?v=pAoM56DCisM,SOMEWHAT THE SAME,YES,TWO HANDS,,,
there,www.youtube.com/watch?v=5WevUel4BPk,SOMEWHAT THE SAME,YES,ONE HAND,,,
next week,www.youtube.com/watch?v=I1o0fccwWSg,NOT THE SAME,YES,TWO HANDS,,,
SICK,www.youtube.com/watch?v=NBqpHJiufXU,SAME,YES,TWO HANDS,,,
MEAT,www.youtube.com/watch?v=Bn7j1v1ksl0,SAME,YES,TWO HANDS,,,
